"iso_code","YearMonth","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","testing_policy","contact_tracing","containment_index","vaccination_policy","debt_relief","close_public_transport","school_closures","stay_home_requirements","transit_stations","workplace_closures","workplaces","facial_coverings","income_support","restrictions_internal_movements","public_information_campaigns","cancel_public_events","restriction_gatherings","CCI","CCIChange","CCINorm"
"AUT",202007,19369.8064516129,108.516129032258,100.502322580645,709.58064516129,0.419354838709677,0.474709677419355,2150.67138709677,12.0488064516129,11.158935483871,78.7864516129032,0.0465483870967742,0.052741935483871,12.4838709677419,1.386,77.6129032258064,8.61754838709677,0,0,0,0,0,0,0,0,0,0,0,0,39.0370967741936,2,2,45.3309677419355,0,2,0,1,0,-16.9447096774194,1.29032258064516,-21.8572258064516,2,2,0,2,1,2,99.45576,0.189440000000005,-0.738740000000007
"AUT",202008,23741,203.483870967742,190.318032258065,726.548387096774,0.483870967741935,0.594354838709677,2636.0144516129,22.5933225806452,21.1314193548387,80.6701935483871,0.0537096774193548,0.0658709677419355,23.2258064516129,2.57906451612903,96.4838709677419,10.7128709677419,0,0,0,0,0,0,0,0,0,0,0,0,37.96,2,2,44.64,0,2,0,1,0,-16.5437096774194,1,-28.5438387096774,2,2,0,2,1,2,99.53585,0.0800899999999984,-0.658650000000009
"AUT",202009,35295.4333333333,579.166666666667,540.061866666667,760.8,2.2,1.8905,3918.928,64.3062,59.9642333333333,84.4733,0.2442,0.209933333333333,55.2666666666667,6.13643333333333,239.2,26.5589333333333,0,0,0,0,0,0,0,0,0,0,0,0,37.099,2,2,45.0966666666667,0,2,0,1,0.0666666666666667,-15.3191333333333,1,-21.2761333333333,2.56666666666667,2,0,2,1,2.46666666666667,99.50023,-0.0356199999999944,-0.694270000000003
"AUT",202010,65781.8064516129,1939.09677419355,1559.60377419355,905.225806451613,10,7.93545161290323,7303.89570967742,215.302032258065,173.166193548387,100.509129032258,1.11016129032258,0.881064516129032,142.677419354839,15.8417419354839,726,80.6093870967742,0,0,0,0,0,0,0,0,0,0,0,0,51.1654838709677,2.32258064516129,2,56.2574193548387,0,2,0,1,1.48387096774194,-22.2625806451613,1.48387096774194,-18.4838709677419,3,2,0.967741935483871,2,1.61290322580645,3.61290322580645,99.21164,-0.288589999999999,-0.982860000000002
"AUT",202011,201622.066666667,5917.7,5961.67146666667,1969.2,69.1666666666667,61.7141666666667,22386.5325,657.054966666667,661.9373,218.6445,7.6797,6.85226666666667,573,63.6214666666667,3242.6,360.032766666667,0,0,0,0,0,0,0,0,0,0,0,0,78.1183333333333,3,2,76.9633333333333,0,2,0.966666666666667,2.43333333333333,2,-42.5381666666667,2.46666666666667,-31.6334,3,2,1.03333333333333,2,2,4,98.95087,-0.260770000000008,-1.24363000000001
"AUT",202012,327325.290322581,2527.70967741935,2713.85719354839,4829.1935483871,98,99.8065161290323,36343.6323870968,280.657161290323,301.325419354839,536.195774193548,10.8812258064516,11.0817096774194,534.709677419355,59.37,2740.22580645161,304.253225806452,0,0,0,0,530.161290322581,0,138.096774193548,169.516129032258,0.00612903225806452,0.00612903225806452,0,18.8064516129032,75.6006451612903,3,2,75.8451612903226,0.32258064516129,2,1,1.7741935483871,2,-44.516064516129,2.38709677419355,-38.1106129032258,3,2,1,2,2,4,98.9674,0.016530000000003,-1.22710000000001
"AUT",202101,390399.225806452,1728.48387096774,1807.49316129032,7016.03225806452,48.3548387096774,52.3087741935484,43346.8673225806,191.917290322581,200.689870967742,779.005258064516,5.36887096774194,5.80796774193548,343.032258064516,38.0876451612903,1724.32258064516,191.455387096774,0,0,0,0,113290.064516129,3684.29032258065,8170.87096774194,7612.09677419355,1.30032258064516,1.25903225806452,0.04,845.193548387097,82.41,2.80645161290323,2,82.1593548387097,2,2,1,3,2,-52.1750967741935,3,-42.7188387096774,3,2,1,2,2,4,99.0985,0.131100000000004,-1.096
"AUT",202102,435399.25,1608.64285714286,1523.29082142857,8213.07142857143,30,31.5765357142857,48343.3170357143,178.611035714286,169.134214285714,911.915035714286,3.33103571428571,3.50603571428571,271.785714285714,30.1768928571429,1158.78571428571,128.662428571429,0,0,0,0,307977.035714286,166960,15554.4285714286,14165.2142857143,5.27321428571429,3.41857142857143,1.85357142857143,1572.75,77.6807142857143,3,2,80.4457142857143,2.60714285714286,2,1,2.5,2,-40.1224285714286,2.25,-30.0202857142857,3,2,1.60714285714286,2,2,4,99.3783,0.279799999999994,-0.816200000000009
"AUT",202103,500600.870967742,2799.64516129032,2698.01380645161,8942.1935483871,25.0967741935484,24.787935483871,55582.793483871,310.850612903226,299.566225806452,992.871032258064,2.78667741935484,2.75232258064516,393.387096774194,43.6785806451613,1406.32258064516,156.147064516129,0,0,0,0,854191.322580645,319986.387096774,32153.3870967742,30845.1290322581,13.0370967741935,9.48451612903226,3.55290322580645,3424.87096774194,73.6432258064516,3,2,78.4103225806452,3,2,1,2,2,-33.5805161290323,2,-25.1106129032258,3,2,2,2,2,4,99.73028,0.351979999999998,-0.464220000000012
"AUT",202104,586463.866666667,2421.36666666667,2540.58573333333,9809.5,28.8666666666667,29.1905,65116.3469333333,268.849533333333,282.086666666667,1089.1698,3.2051,3.24113333333333,552.5,61.3453333333333,1566.03333333333,173.880066666667,0,0,0,0,1710552.63333333,677071.1,48575.3333333333,45682.6333333333,26.5106666666667,18.9926666666667,7.517,5072.2,76.9106666666667,3,2,80.5126666666667,3,2,1,2.66666666666667,2,-36.0047666666667,3,-28.3095,3,2,2,2,2,4,99.92809,0.197810000000004,-0.266410000000008
